iter	Passed	Remaining
427	1935	2586
428	1940	2582
429	1944	2578
430	1950	2574
431	1954	2569
432	1959	2565
433	1963	2561
434	1968	2556
435	1973	2552
436	1977	2548
437	1982	2543
438	1987	2539
439	1991	2534
440	1996	2530
441	2001	2527
442	2006	2522
443	2010	2518
444	2015	2513
445	2020	2509
446	2025	2505
447	2029	2500
448	2034	2496
449	2038	2491
450	2043	2487
451	2048	2483
452	2052	2478
453	2057	2474
454	2062	2470
455	2067	2466
456	2071	2461
457	2076	2457
458	2081	2452
459	2085	2448
460	2090	2444
461	2095	2439
462	2099	2435
463	2104	2430
464	2108	2426
465	2113	2422
466	2118	2417
467	2122	2413
468	2127	2408
469	2131	2403
470	2136	2399
471	2141	2395
472	2145	2390
473	2150	2386
474	2154	2381
475	2159	2377
476	2164	2373
477	2168	2368
478	2173	2363
479	2177	2359
480	2182	2354
481	2186	2350
482	2191	2345
483	2196	2341
484	2203	2339
485	2209	2336
486	2214	2332
487	2219	2328
488	2224	2324
489	2228	2319
490	2233	2315
491	2237	2310
492	2242	2306
493	2246	2301
494	2251	2296
495	2255	2292
496	2260	2287
497	2265	2283
498	2269	2279
499	2274	2274
500	2279	2270
501	2283	2265
502	2288	2261
503	2293	2256
504	2298	2252
505	2302	2247
506	2307	2243
507	2311	2238
508	2316	2234
509	2320	2229
510	2325	2225
511	2329	2220
512	2334	2216
513	2339	2211
514	2343	2207
515	2348	2202
516	2352	2198
517	2357	2193
518	2361	2189
519	2366	2184
520	2371	2180
521	2375	2175
522	2380	2170
523	2384	2166
524	2389	2161
525	2394	2157
526	2398	2152
527	2402	2148
528	2407	2143
529	2412	2139
530	2416	2134
531	2421	2129
532	2425	2125
533	2430	2120
534	2435	2116
535	2439	2111
536	2444	2107
537	2448	2102
538	2453	2098
539	2457	2093
540	2462	2089
541	2467	2084
542	2471	2080
543	2476	2076
544	2481	2071
545	2485	2067
546	2490	2062
547	2495	2058
548	2499	2053
549	2504	2048
550	2508	2044
551	2513	2040
552	2518	2035
553	2522	2030
554	2527	2026
555	2531	2021
556	2536	2017
557	2541	2013
558	2546	2008
559	2550	2004
560	2555	1999
561	2560	1995
562	2564	1990
563	2569	1986
564	2574	1981
565	2578	1977
566	2583	1972
567	2587	1968
568	2592	1963
569	2598	1959
570	2602	1955
571	2606	1950
572	2610	1945
573	2615	1940
574	2619	1936
575	2624	1931
576	2628	1927
577	2633	1922
578	2638	1918
579	2642	1913
580	2647	1909
581	2651	1904
582	2656	1900
583	2661	1895
584	2665	1891
585	2670	1886
586	2675	1882
587	2679	1877
588	2684	1873
589	2688	1868
590	2693	1864
591	2699	1860
592	2704	1856
593	2708	1851
594	2715	1848
595	2720	1843
596	2725	1839
597	2731	1836
598	2736	1832
599	2742	1828
600	2747	1823
601	2751	1819
602	2757	1815
603	2761	1810
604	2766	1806
605	2771	1802
606	2776	1797
607	2781	1793
608	2785	1788
609	2790	1783
610	2794	1779
611	2799	1774
612	2803	1770
613	2808	1765
614	2812	1760
615	2817	1756
616	2821	1751
617	2826	1747
618	2831	1742
619	2835	1737
620	2840	1733
621	2844	1728
622	2849	1724
623	2853	1719
624	2858	1715
625	2863	1710
626	2867	1706
627	2872	1701
628	2877	1696
629	2881	1692
630	2886	1687
631	2890	1683
632	2895	1678
633	2899	1674
634	2905	1669
635	2909	1665
636	2914	1660
637	2918	1656
638	2923	1651
639	2928	1647
640	2932	1642
641	2937	1637
642	2942	1633
643	2946	1628
644	2951	1624
645	2955	1619
646	2960	1615
647	2964	1610
648	2969	1606
649	2974	1601
650	2979	1597
651	2983	1592
652	2988	1587
653	2992	1583
654	2997	1578
655	3002	1574
656	3007	1569
657	3011	1565
658	3016	1560
659	3020	1556
660	3025	1551
661	3030	1547
662	3034	1542
663	3039	1538
664	3044	1533
665	3048	1528
666	3053	1524
667	3058	1519
668	3062	1515
669	3066	1510
670	3071	1505
671	3075	1501
672	3080	1496
673	3084	1491
674	3088	1487
675	3093	1482
676	3097	1477
677	3101	1473
678	3106	1468
679	3110	1463
680	3115	1459
681	3119	1454
682	3124	1449
683	3128	1445
684	3132	1440
685	3137	1436
686	3142	1431
687	3146	1426
688	3151	1422
689	3156	1417
690	3160	1413
691	3165	1408
692	3170	1404
693	3174	1399
694	3179	1395
695	3184	1390
696	3188	1386
697	3193	1381
698	3198	1377
699	3202	1372
700	3207	1368
701	3212	1363
702	3217	1359
703	3222	1354
704	3226	1350
705	3231	1345
706	3236	1341
707	3241	1336
708	3246	1332
709	3250	1327
710	3255	1323
711	3259	1318
712	3264	1314
713	3269	1309
714	3273	1304
715	3278	1300
716	3282	1295
717	3287	1291
718	3292	1286
719	3296	1281
720	3301	1277
721	3306	1272
722	3310	1268
723	3315	1263
724	3319	1259
725	3324	1254
726	3329	1250
727	3333	1245
728	3338	1241
729	3343	1236
730	3347	1231
731	3352	1227
732	3357	1222
733	3361	1218
734	3366	1213
735	3370	1209
736	3375	1204
737	3379	1199
738	3384	1195
739	3389	1190
740	3393	1186
741	3398	1181
742	3403	1177
743	3407	1172
744	3412	1167
745	3416	1163
746	3421	1158
747	3425	1154
748	3430	1149
749	3434	1144
750	3439	1140
751	3444	1135
752	3448	1131
753	3453	1126
754	3457	1122
755	3462	1117
756	3467	1113
757	3471	1108
758	3476	1103
759	3481	1099
760	3485	1094
761	3490	1090
762	3495	1085
763	3499	1081
764	3504	1076
765	3509	1072
766	3514	1067
767	3518	1062
768	3523	1058
769	3527	1053
770	3532	1049
771	3537	1044
772	3541	1040
773	3546	1035
774	3551	1030
775	3555	1026
776	3560	1021
777	3564	1017
778	3569	1012
779	3573	1007
780	3579	1003
781	3583	999
782	3588	994
783	3592	989
784	3597	985
785	3601	980
786	3606	976
787	3610	971
788	3615	966
789	3619	962
790	3624	957
791	3629	953
792	3633	948
793	3638	943
794	3642	939
795	3647	934
796	3651	930
797	3656	925
798	3661	920
799	3665	916
800	3670	911
801	3674	907
802	3680	902
803	3685	898
804	3689	893
805	3695	889
806	3699	884
807	3704	880
808	3709	875
809	3714	871
810	3719	866
811	3723	862
812	3728	857
813	3733	853
814	3737	848
815	3742	843
816	3746	839
817	3751	834
818	3755	830
819	3760	825
820	3765	820
821	3769	816
822	3774	811
823	3779	807
824	3783	802
825	3788	798
826	3792	793
827	3797	788
828	3801	784
829	3806	779
830	3811	775
831	3816	770
832	3820	765
833	3825	761
834	3829	756
835	3834	752
836	3839	747
837	3843	743
838	3848	738
839	3852	733
840	3857	729
841	3861	724
842	3866	720
843	3871	715
844	3876	711
845	3880	706
846	3885	701
847	3889	697
848	3894	692
849	3898	688
850	3903	683
851	3907	678
852	3912	674
853	3917	669
854	3921	665
855	3926	660
856	3931	655
857	3935	651
858	3940	646
859	3945	642
860	3949	637
861	3954	633
862	3959	628
863	3963	623
864	3968	619
865	3972	614
866	3977	610
867	3982	605
868	3986	600
869	3991	596
870	3995	591
871	4000	587
872	4005	582
873	4010	578
874	4014	573
875	4019	568
876	4023	564
877	4028	559
878	4033	555
879	4037	550
880	4042	546
881	4046	541
882	4051	536
883	4055	532
884	4060	527
885	4064	522
886	4069	518
887	4073	513
888	4078	509
889	4082	504
890	4087	500
891	4091	495
892	4095	490
893	4100	486
894	4104	481
895	4108	476
896	4113	472
897	4117	467
898	4121	463
899	4126	458
900	4130	453
901	4134	449
902	4139	444
903	4143	440
904	4148	435
905	4153	430
906	4158	426
907	4164	421
908	4169	417
909	4173	412
910	4178	408
911	4182	403
912	4187	399
913	4192	394
914	4196	389
915	4201	385
916	4206	380
917	4210	376
918	4215	371
919	4220	366
920	4224	362
921	4230	357
922	4235	353
923	4241	348
924	4245	344
925	4251	339
926	4255	335
927	4260	330
928	4264	325
929	4269	321
930	4274	316
931	4279	312
932	4283	307
933	4288	303
934	4293	298
935	4297	293
936	4302	289
937	4306	284
938	4311	280
939	4316	275
940	4320	270
941	4325	266
942	4329	261
943	4334	257
944	4339	252
945	4343	247
946	4348	243
947	4353	238
948	4357	234
949	4362	229
950	4367	225
951	4374	220
952	4380	216
953	4385	211
954	4390	206
955	4395	202
956	4402	197
957	4407	193
958	4412	188
959	4417	184
960	4422	179
961	4427	174
962	4431	170
963	4436	165
964	4440	161
965	4445	156
966	4449	151
967	4454	147
968	4458	142
969	4463	138
970	4467	133
971	4472	128
972	4477	124
973	4481	119
974	4486	115
975	4491	110
976	4495	105
977	4500	101
978	4504	96
979	4509	92
980	4514	87
981	4518	82
982	4523	78
983	4528	73
984	4532	69
985	4537	64
986	4542	59
987	4546	55
988	4551	50
989	4556	46
990	4560	41
991	4565	36
992	4570	32
993	4574	27
994	4579	23
995	4583	18
996	4588	13
997	4593	9
998	4597	4
999	4602	0
