iter	Logloss
0	0.6552230827
1	0.6244948758
2	0.5922634578
3	0.565241959
4	0.5422315139
5	0.5219757391
6	0.5015346993
7	0.4849627665
8	0.4684969022
9	0.4529285646
10	0.440604251
11	0.4297689523
12	0.4207692052
13	0.412047867
14	0.4044649118
15	0.3974031412
16	0.3919015396
17	0.3865154554
18	0.3810372257
19	0.3769801589
20	0.3724091207
21	0.3691486053
22	0.3649837313
23	0.3621015102
24	0.3584003223
25	0.3551873205
26	0.3522908587
27	0.3497507701
28	0.3474708855
29	0.3451369837
30	0.3431621187
31	0.341888865
32	0.3404046605
33	0.3391665372
34	0.3373867313
35	0.3360977233
36	0.3349652522
37	0.3335272533
38	0.3321517796
39	0.3309884575
40	0.3296495496
41	0.3284803882
42	0.3272933852
43	0.326115078
44	0.3253947943
45	0.3247704155
46	0.324030932
47	0.3230635994
48	0.3221192598
49	0.3214517929
50	0.3206169603
51	0.3199315035
52	0.3191875879
53	0.3185413446
54	0.317935089
55	0.3174121896
56	0.316769466
57	0.3161593625
58	0.3156669143
59	0.3150532417
60	0.31437925
61	0.3137246811
62	0.3132427529
63	0.3126675138
64	0.3121450083
65	0.3115081239
66	0.3111653414
67	0.3106218957
68	0.3102485181
69	0.3095826909
70	0.3092095129
71	0.3087926413
72	0.3083795545
73	0.3076909979
74	0.3071303209
75	0.3068101304
76	0.3064819519
77	0.3060217558
78	0.3057768591
79	0.3053740802
80	0.3050617834
81	0.3046480052
82	0.3043229132
83	0.3038872751
84	0.3035130381
85	0.3032569502
86	0.3029721643
87	0.302728694
88	0.3023647062
89	0.3020395625
90	0.3017854249
91	0.3014914103
92	0.3012345631
93	0.3009660863
94	0.3005450188
95	0.300158007
96	0.299863106
97	0.2996517066
98	0.2994409449
99	0.2992277181
100	0.2989999319
101	0.2987864253
102	0.2985571041
103	0.2982805003
104	0.2980566534
105	0.297753927
106	0.2974304988
107	0.2973294148
108	0.2971159104
109	0.2969318188
110	0.2967156397
111	0.296428968
112	0.296160733
113	0.2959577288
114	0.2953725612
115	0.2950565866
116	0.2948455793
117	0.294637472
118	0.2943873015
119	0.2941414113
120	0.2940007372
121	0.2937914776
122	0.2934908481
123	0.2933674891
124	0.2931443062
125	0.2930626375
126	0.2927999596
127	0.2926122715
128	0.292420926
129	0.2922067171
130	0.2920511555
131	0.2919534243
132	0.291681269
133	0.2913212003
134	0.2911524793
135	0.2909803211
136	0.2908485973
137	0.2906768542
138	0.2905070531
139	0.2902764461
140	0.2901823931
141	0.2901035101
142	0.2899830702
143	0.2898789482
144	0.2897724591
145	0.2896748577
146	0.2894436771
147	0.2893642726
148	0.2890648001
149	0.2888955305
150	0.2887832069
151	0.2885487908
152	0.2884480287
153	0.2882578257
154	0.2880990077
155	0.2879702985
156	0.287771593
157	0.2876293178
158	0.2873467581
159	0.2872619623
160	0.2870805441
161	0.2868657839
162	0.2867483762
163	0.2866803461
164	0.2865581735
165	0.2864658821
166	0.2863194074
167	0.2862225571
168	0.2861134626
169	0.2859891737
170	0.2858252254
171	0.2857099766
172	0.2854103479
173	0.2852991639
174	0.2851767386
175	0.2849487548
176	0.2848578414
177	0.2846987932
178	0.2845778844
179	0.2844481356
180	0.2843206816
181	0.2841954199
182	0.2841052033
183	0.2840265178
184	0.2839027864
185	0.283804592
186	0.2837089396
187	0.2836093088
188	0.283242803
189	0.2831346352
190	0.2830379457
191	0.2828554735
192	0.2827130894
193	0.2826096146
194	0.282479511
195	0.282358434
196	0.2821784101
197	0.2820614591
198	0.2817674359
199	0.2816986955
200	0.2815599114
201	0.2814554031
202	0.2813221004
203	0.2812153418
204	0.2811444138
205	0.2810634881
206	0.2809700496
207	0.28082737
208	0.2807497149
209	0.2806651933
210	0.2805267989
211	0.2802964206
212	0.2802243743
213	0.2801128446
214	0.280044399
215	0.2799736521
216	0.2798922054
217	0.2797952474
218	0.2796636838
219	0.2795442051
220	0.2794208934
221	0.2793063181
222	0.2792341286
223	0.2791341582
224	0.2790849119
225	0.2786608524
226	0.2785269993
227	0.2784207843
228	0.2783019407
229	0.2781935664
230	0.2780990199
231	0.2780045818
232	0.2779381377
233	0.2778696453
234	0.277797865
235	0.2777323436
236	0.2776856942
237	0.2776359318
238	0.2775633938
239	0.2774674194
240	0.2773684312
241	0.2772376034
242	0.2770979581
243	0.2769543335
244	0.2766819427
245	0.2766299619
246	0.2765407292
247	0.276349889
248	0.2762937004
249	0.276219887
250	0.2761122409
251	0.2760158149
252	0.2758299137
253	0.2756541188
254	0.2754347524
255	0.275326527
256	0.2752542002
257	0.2751401682
258	0.2750496743
259	0.274872143
260	0.2747807237
261	0.2746973888
262	0.2746463607
263	0.274467295
264	0.2743843536
265	0.2743219791
266	0.2742218827
267	0.2740722315
268	0.2739773043
269	0.2737151523
270	0.2735815596
271	0.2735196868
272	0.273430004
273	0.2733579551
274	0.2732511293
275	0.2731724542
276	0.2731033332
277	0.27301555
278	0.2727861994
279	0.2726962245
280	0.272612444
281	0.2725487779
282	0.2724514774
283	0.2723972939
284	0.2723323218
285	0.2721905789
286	0.2720383429
287	0.2719716783
288	0.2717483405
289	0.2716792164
290	0.2714750309
291	0.2714060241
292	0.2713092246
293	0.2712101175
294	0.2708280076
295	0.2707530505
296	0.2706899705
297	0.2706570572
298	0.2705952506
299	0.2703008191
300	0.2702318258
301	0.2701468426
302	0.2700909602
303	0.2700091662
304	0.2699563604
305	0.2698749068
306	0.2697987709
307	0.2697345307
308	0.2696726331
309	0.2695998586
310	0.2694718253
311	0.2693627369
312	0.2691619737
313	0.2690890036
314	0.2690181423
315	0.26896598
316	0.2687226746
317	0.2686514541
318	0.2686069461
319	0.2685506668
320	0.2684645968
321	0.2683735478
322	0.2682714457
323	0.2681838644
324	0.2680091943
325	0.2679065514
326	0.267780842
327	0.2677351626
328	0.2676373666
329	0.2675761189
330	0.2674808802
331	0.2674017958
332	0.2671046972
333	0.2670040009
334	0.2669516853
335	0.266873596
336	0.2667682418
337	0.2667260068
338	0.2666887805
339	0.2666289929
340	0.26643098
341	0.2663800092
342	0.2663238217
343	0.2662496448
344	0.2662101926
345	0.2661007254
346	0.2660281742
347	0.2659446967
348	0.2658912688
349	0.2658423984
350	0.2657573381
351	0.2656984932
352	0.2656675097
353	0.2656073656
354	0.2655096267
355	0.2654528572
356	0.2654188389
357	0.2653265308
358	0.2652511518
359	0.2651772553
360	0.2649695621
361	0.2648831161
362	0.2648084309
363	0.2647196896
364	0.2646608267
365	0.2646058786
366	0.2645209812
367	0.2644293568
368	0.2643913753
369	0.264320945
